location_id,receiver_latitude,receiver_longitude,repi_km,analysed_pga_g,analysed_loss_ratio,global_cmt_pga_g,global_cmt_loss_ratio,pga_difference_g,loss_ratio_difference
124,40.120892001998726,29.244201706086056,868.6805370011847,0.0010338196169844742,0.0,0.0010338727296071593,0.0,5.311262268512494e-08,0.0
125,40.00527714511901,29.81363000912616,818.749844308481,0.0012821778724259904,0.0,0.0012822519873953715,0.0,7.411496938110156e-08,0.0
126,39.88637072459324,30.38126211134988,768.8231817910635,0.0012122943396408621,0.0,0.0012123738463495736,0.0,7.950670871149923e-08,0.0
127,39.76418927340092,30.94706266031314,718.9063915020622,0.001702035674215339,0.0,0.001702163147271612,0.0,1.2747305627312973e-07,0.0
128,39.638749588390894,31.51099764986585,669.0073160392388,0.0014810530040747488,0.0,0.0014811812677424116,0.0,1.282636676628538e-07,0.0
129,39.510068714727474,32.073034427829406,619.1366050009933,0.0019392789650541096,0.0,0.0019394748959103826,0.0,1.9593085627306502e-07,0.0
130,39.37816393033035,32.63314170186223,569.3089426878257,0.0020610976955897525,0.0,0.002061344042107615,0.0,2.4634651786233433e-07,0.0
131,39.24305273033106,33.1912895435556,519.5449763052335,0.002483166271985386,0.0,0.0024835224302451903,0.0,3.561582598045343e-07,0.0
132,39.10475281156865,33.747449390805635,469.87445566444,0.004025632740265628,0.0,0.004026325509370922,0.0,6.927691052942622e-07,0.0
133,38.96328205714568,34.30159404851024,420.3415658742574,0.003235816015248602,0.0,0.003236524878245081,0.0,7.08862996478838e-07,0.0
134,38.81865852106536,34.85369768764283,371.01444788088963,0.0037905147379643403,0.0,0.0037915803429632924,0.0,1.0656049989521583e-06,0.0
135,38.67090041296952,35.40373584275705,322.003240124009,0.004667841053933116,0.0,0.004669582052037507,0.0,1.7409981043917458e-06,0.0
136,38.52002608299594,35.951685407979305,273.4968243055379,0.005949493443809998,0.0,0.0059525662786133185,0.0,3.0728348033208855e-06,0.0
137,38.36605400677348,36.49752463154753,225.84452749210055,0.0075489666237933935,0.0,0.007554678907165338,0.0,5.712283371944564e-06,0.0
138,38.20900277057115,37.04123310895654,179.75795672473362,0.010765642165097252,0.0,0.010778462928609227,0.0,1.2820763511974323e-05,0.0
139,38.0488910566178,37.58279177477196,136.8704816257338,0.016087773312720616,0.0,0.016120644893162082,0.0,3.2871580441466014e-05,0.0
140,37.88573762860676,38.122182893175335,101.38759894248017,0.02423164868604234,0.0,0.024321078609217096,0.0,8.942992317475737e-05,0.0
141,37.71956131739987,38.65939004730469,83.44418644508869,0.03722967597332579,0.0,0.037427630097617695,0.0,0.00019795412429190334,0.0
