comparison_source,metric,epicentral_distance_km,kernel_bandwidth_km,pairs_within_200_km,effective_pair_count,systematic_mean_signed_change,empirical_standard_deviation,weighted_negative_percent,weighted_unchanged_percent,weighted_positive_percent
global_cmt,loss_ratio,99.0,15.0,1480,396.26772611958137,-1.4653108358969102e-11,9.011739278570415e-07,0.00080734627848715,99.79291612739826,0.20627652632326948
global_cmt,loss_ratio,100.0,15.0,1480,400.43197231251344,-5.558403657033367e-12,7.480264405916615e-07,0.0006225410347141751,99.80910387385985,0.19027358510542283
global_cmt,loss_ratio,101.0,15.0,1480,404.67248018959333,4.107813056978412e-13,6.198306013840627e-07,0.0004782391764646721,99.82469953519231,0.1748222256312277
global_cmt,loss_ratio,102.0,15.0,1480,408.9726158105621,4.188235906328724e-12,5.127122455969067e-07,0.0003660058671413222,99.8396402081731,0.15999378595976296
global_cmt,loss_ratio,103.0,15.0,1480,413.31611229673706,6.44241210539807e-12,4.233648465032227e-07,0.0002790557777668619,99.85387497895422,0.1458459652680339
global_cmt,loss_ratio,104.0,15.0,1480,417.68747934375676,7.649828656052268e-12,3.489724607475878e-07,0.00021195624532572115,99.86736460960891,0.13242343414576369
global_cmt,loss_ratio,105.0,15.0,1480,422.07228846872584,8.148682072727135e-12,2.871419905811988e-07,0.00016037762993725905,99.88008104061264,0.11975858175742476
global_cmt,loss_ratio,106.0,15.0,1480,426.45733431622364,8.177834599853032e-12,2.3584385978886248e-07,0.00012088490747572253,99.89200674737783,0.10787236771467831
global_cmt,loss_ratio,107.0,15.0,1480,430.83068102767095,7.905052575492461e-12,1.9336024170195688e-07,9.076488105232844e-05,99.90313398463132,0.09677525048762346
global_cmt,loss_ratio,108.0,15.0,1480,435.18161104034465,7.44738031236003e-12,1.5824002797486447e-07,6.788384840861983e-05,99.91346394833172,0.08646816781986956
global_cmt,loss_ratio,109.0,15.0,1480,439.5005009236776,6.8857866674592325e-12,1.2925978289880954e-07,5.057107219698047e-05,99.9230058810925,0.07694354783527678
global_cmt,loss_ratio,110.0,15.0,1480,443.77865420347575,6.275659070331232e-12,1.0538998734736337e-07,3.7523928404863465e-05,99.93177614374935,0.06818633232221988
global_cmt,loss_ratio,111.0,15.0,1480,448.00812392063955,5.654299489941413e-12,8.576593684748575e-08,2.7731127656626243e-05,99.93979727279051,0.06017499608183391
global_cmt,loss_ratio,112.0,15.0,1480,452.1815574866429,5.046264558276323e-12,6.96627180447975e-08,2.0410896484811505e-05,99.94709704082122,0.05288254828227
global_cmt,loss_ratio,113.0,15.0,1480,456.2920930753004,4.467161352930783e-12,5.6473745686469416e-08,1.4961459563726964e-05,99.95370753500265,0.046277503537785425
global_cmt,loss_ratio,114.0,15.0,1480,460.33333047800727,3.926340779479853e-12,4.569239724577381e-08,1.0921573312715228e-05,99.95966426642599,0.04032481200069253
global_cmt,loss_ratio,115.0,15.0,1480,464.29939050747555,3.4288065138722824e-12,3.689633383223518e-08,7.939224057995495e-06,99.96500532159108,0.03498673918487524
global_cmt,loss_ratio,116.0,15.0,1480,468.18506641150844,2.976567262010807e-12,2.973414369603323e-08,5.74692065931346e-06,99.96977056548602,0.030223687593319615
global_cmt,loss_ratio,117.0,15.0,1480,471.9860593402541,2.5695947845913616e-12,2.3913988270977885e-08,4.1422845220694835e-06,99.97400090416647,0.025994953549011168
global_cmt,loss_ratio,118.0,15.0,1480,475.699278842258,2.2065030776082536e-12,1.91939702872643e-08,2.9728726743217316e-06,99.97773761316272,0.02225941396458571
global_cmt,loss_ratio,119.0,15.0,1480,479.323179837552,1.8850303557159197e-12,1.5373979117796947e-08,2.124366101850494e-06,99.98102173648226,0.018976139151635627
global_cmt,loss_ratio,120.0,15.0,1480,482.8581006305553,1.6023814080990073e-12,1.2288800375373837e-08,1.5114200050844956e-06,99.98389355941,0.016104929169999966
global_cmt,loss_ratio,121.0,15.0,1480,486.3065631433751,1.355470802049789e-12,9.802305081375572e-09,1.070609207702814e-06,99.98639215675072,0.01360677264009265
global_cmt,loss_ratio,122.0,15.0,1480,489.67349715785474,1.1410953354879674e-12,7.802558740958068e-09,7.55014520028577e-07,99.98855501662187,0.011444228363610753
global_cmt,loss_ratio,123.0,15.0,1480,492.9663549695494,9.56055656973453e-13,6.197712662009679e-09,5.300880301273275e-07,99.99041773842609,0.009581731485895542
