receiver_id,latitude,longitude,vs30_3arcsec,direct_cell_status_3arcsec,direct_3arcsec,fallback_3arcsec,fallback_distance_3arcsec_m,vs30_9arcsec,direct_cell_status_9arcsec,direct_9arcsec,fallback_9arcsec,fallback_distance_9arcsec_m,fallback_category
108,38.81337198435645,33.034598454831034,340.7940673828125,valid,True,False,,340.79681396484375,valid,True,False,,neither
109,38.67611856665329,33.587644248287745,160.08177185058594,nodata,False,True,6875.29622842263,285.192626953125,nodata,False,True,7004.6779899862295,both
110,38.53571220863781,34.13872922498166,619.1500244140625,valid,True,False,,619.1500244140625,valid,True,False,,neither
111,38.392170467105785,34.687827949893595,359.8777770996094,valid,True,False,,360.6438293457031,valid,True,False,,neither
112,38.24551105366531,35.234916304070964,344.8053283691406,valid,True,False,,339.58758544921875,valid,True,False,,neither
113,38.09575182010447,35.779971481455135,600.7100219726562,valid,True,False,,600.7100219726562,valid,True,False,,neither
114,37.94291074388236,36.32297198431528,576.5399780273438,valid,True,False,,576.5399780273438,valid,True,False,,neither
115,37.787005913759856,36.86389761734446,469.7439880371094,valid,True,False,,469.52392578125,valid,True,False,,neither
116,37.628055515585366,37.40272948047536,464.3563232421875,valid,True,False,,464.0740661621094,valid,True,False,,neither
117,37.46607781825019,37.93944996047414,460.4999084472656,valid,True,False,,458.1355895996094,valid,True,False,,neither
118,37.30109115982695,38.4740427213721,450.7371826171875,valid,True,False,,451.1153564453125,valid,True,False,,neither
119,37.13311393390367,39.006492693795046,322.2624816894531,valid,True,False,,325.7251281738281,valid,True,False,,neither
120,36.96216457612552,39.5367860632515,418.32916259765625,valid,True,False,,418.77618408203125,valid,True,False,,neither
121,40.64903459878373,26.371447394800388,405.83905029296875,valid,True,False,,407.2633056640625,valid,True,False,,neither
122,40.3421823053369,28.100104579748663,576.5399780273438,valid,True,False,,576.5399780273438,valid,True,False,,neither
123,40.23319904164602,28.67301389143944,430.1071472167969,valid,True,False,,434.624755859375,valid,True,False,,neither
124,40.120892001998726,29.244201706086056,576.5399780273438,valid,True,False,,576.5399780273438,valid,True,False,,neither
125,40.00527714511901,29.81363000912616,421.53973388671875,valid,True,False,,425.595458984375,valid,True,False,,neither
126,39.88637072459324,30.38126211134988,613.5762329101562,valid,True,False,,608.7828369140625,valid,True,False,,neither
127,39.76418927340092,30.94706266031314,343.1845397949219,valid,True,False,,343.2217102050781,valid,True,False,,neither
128,39.638749588390894,31.51099764986585,619.1500244140625,valid,True,False,,619.1500244140625,valid,True,False,,neither
129,39.510068714727474,32.073034427829406,426.8257141113281,valid,True,False,,428.2435302734375,valid,True,False,,neither
130,39.37816393033035,32.63314170186223,502.8563537597656,valid,True,False,,499.3263854980469,valid,True,False,,neither
131,39.24305273033106,33.1912895435556,461.03009033203125,valid,True,False,,442.81707763671875,valid,True,False,,neither
132,39.10475281156865,33.747449390805635,152.6945343017578,nodata,False,True,1331.3781991282967,191.27317810058594,nodata,False,True,1381.0076061140237,both
133,38.96328205714568,34.30159404851024,486.26995849609375,valid,True,False,,500.1455078125,valid,True,False,,neither
134,38.81865852106536,34.85369768764283,512.4321899414062,valid,True,False,,534.3407592773438,valid,True,False,,neither
135,38.67090041296952,35.40373584275705,537.5999755859375,valid,True,False,,537.5999755859375,valid,True,False,,neither
136,38.52002608299594,35.951685407979305,537.5999755859375,valid,True,False,,537.5999755859375,valid,True,False,,neither
137,38.36605400677348,36.49752463154753,600.7100219726562,valid,True,False,,600.7100219726562,valid,True,False,,neither
138,38.20900277057115,37.04123310895654,572.4439697265625,valid,True,False,,576.5294799804688,valid,True,False,,neither
139,38.0488910566178,37.58279177477196,576.544189453125,valid,True,False,,576.5399780273438,valid,True,False,,neither
140,37.88573762860676,38.122182893175335,619.1500244140625,valid,True,False,,619.1500244140625,valid,True,False,,neither
141,37.71956131739987,38.65939004730469,425.3072509765625,valid,True,False,,420.077880859375,valid,True,False,,neither
142,37.55038100694362,39.194398127454846,537.3173217773438,valid,True,False,,537.5999755859375,valid,True,False,,neither
143,37.3782156204095,39.72719331820265,530.81640625,valid,True,False,,530.8634643554688,valid,True,False,,neither
144,37.20308410656944,40.2577630845222,516.1246337890625,valid,True,False,,528.6494140625,valid,True,False,,neither
145,41.08928448177223,26.488968088567013,242.7376251220703,valid,True,False,,243.0297088623047,valid,True,False,,neither
146,40.98955554528828,27.07058243420781,323.5298767089844,valid,True,False,,324.740478515625,valid,True,False,,neither
147,40.556858879095685,29.380147541154155,537.5999755859375,valid,True,False,,537.5999755859375,valid,True,False,,neither
148,40.44031923175131,29.953111188266483,386.5491943359375,valid,True,False,,383.7698059082031,valid,True,False,,neither
149,40.32046641172607,30.5242267272893,600.7100219726562,valid,True,False,,600.7100219726562,valid,True,False,,neither
150,40.19731744397758,31.09345805137606,535.0150146484375,valid,True,False,,535.0223999023438,valid,True,False,,neither
151,40.07088962204292,31.660770453715006,285.0708923339844,valid,True,False,,304.8576965332031,valid,True,False,,neither
152,39.94120049187214,32.22613063486308,600.7100219726562,valid,True,False,,600.7100219726562,valid,True,False,,neither
153,39.80826783566438,32.78950670817389,543.5369262695312,valid,True,False,,545.1306762695312,valid,True,False,,neither
154,39.67210965573072,33.350868203365806,443.4426574707031,valid,True,False,,449.58001708984375,valid,True,False,,neither
155,39.53274415840682,33.91018606828075,478.2244567871094,valid,True,False,,476.37945556640625,valid,True,False,,neither
156,39.3901897380382,34.467432668886644,398.687744140625,valid,True,False,,402.7200012207031,valid,True,False,,neither
157,39.24446496105929,35.02258178758028,492.3923645019531,valid,True,False,,492.7139892578125,valid,True,False,,neither
158,39.09558855018729,35.575608619849234,428.3100280761719,valid,True,False,,430.0249938964844,valid,True,False,,neither
159,38.94357936874966,36.126489769354585,496.2953186035156,valid,True,False,,495.9154052734375,valid,True,False,,neither
160,38.78845640516469,36.67520324149756,619.1500244140625,valid,True,False,,619.1500244140625,valid,True,False,,neither
161,38.63023875759182,37.22172843553528,444.8823547363281,valid,True,False,,446.1104431152344,valid,True,False,,neither
162,38.46894561876885,37.76604613531235,577.5000610351562,valid,True,False,,560.0208129882812,valid,True,False,,neither
163,38.30459626105106,38.30813849867578,502.34588623046875,valid,True,False,,502.46868896484375,valid,True,False,,neither
164,38.13721002166683,38.84798904564202,576.5399780273438,valid,True,False,,576.5399780273438,valid,True,False,,neither
165,37.96680628820294,39.385582645385306,537.5999755859375,valid,True,False,,537.5999755859375,valid,True,False,,neither
166,37.7934044843319,39.92090550211677,535.904052734375,valid,True,False,,535.904052734375,valid,True,False,,neither
167,37.61702405579266,40.45394513992413,495.7658996582031,valid,True,False,,505.2450866699219,valid,True,False,,neither
168,37.43768445663451,40.98469038664149,494.5308837890625,valid,True,False,,491.2444763183594,valid,True,False,,neither
169,37.25540513573389,41.51313135681831,489.94024658203125,valid,True,False,,488.5272216796875,valid,True,False,,neither
170,41.52911975891151,26.60877510208489,371.8243408203125,valid,True,False,,374.2494201660156,valid,True,False,,neither
